INFO     | 2019-02-27 17:13:09,298 | progress   | Finished subset 75/211, 35.55 percent done
INFO     | 2019-02-27 17:13:10,097 | progress   | Finished subset 76/211, 36.02 percent done
INFO     | 2019-02-27 17:13:11,071 | progress   | Finished subset 77/211, 36.49 percent done
INFO     | 2019-02-27 17:13:15,340 | progress   | Finished subset 78/211, 36.97 percent done
INFO     | 2019-02-27 17:13:16,870 | progress   | Finished subset 79/211, 37.44 percent done
INFO     | 2019-02-27 17:13:19,290 | progress   | Finished subset 80/211, 37.91 percent done
INFO     | 2019-02-27 17:13:20,745 | progress   | Finished subset 81/211, 38.39 percent done
INFO     | 2019-02-27 17:13:23,922 | progress   | Finished subset 82/211, 38.86 percent done
INFO     | 2019-02-27 17:13:45,910 | progress   | Finished subset 83/211, 39.34 percent done
INFO     | 2019-02-27 17:13:47,846 | progress   | Finished subset 84/211, 39.81 percent done
INFO     | 2019-02-27 17:13:48,481 | progress   | Finished subset 85/211, 40.28 percent done
INFO     | 2019-02-27 17:13:49,065 | progress   | Finished subset 86/211, 40.76 percent done
INFO     | 2019-02-27 17:13:50,430 | progress   | Finished subset 87/211, 41.23 percent done
INFO     | 2019-02-27 17:13:52,273 | progress   | Finished subset 88/211, 41.71 percent done
INFO     | 2019-02-27 17:13:53,620 | progress   | Finished subset 89/211, 42.18 percent done
INFO     | 2019-02-27 17:13:55,950 | progress   | Finished subset 90/211, 42.65 percent done
INFO     | 2019-02-27 17:14:06,985 | progress   | Finished subset 91/211, 43.13 percent done
INFO     | 2019-02-27 17:14:09,084 | progress   | Finished subset 92/211, 43.60 percent done
INFO     | 2019-02-27 17:14:09,751 | progress   | Finished subset 93/211, 44.08 percent done
INFO     | 2019-02-27 17:14:11,385 | progress   | Finished subset 94/211, 44.55 percent done
INFO     | 2019-02-27 17:14:13,516 | progress   | Finished subset 95/211, 45.02 percent done
INFO     | 2019-02-27 17:14:14,964 | progress   | Finished subset 96/211, 45.50 percent done
INFO     | 2019-02-27 17:14:18,199 | progress   | Finished subset 97/211, 45.97 percent done
INFO     | 2019-02-27 17:14:27,258 | progress   | Finished subset 98/211, 46.45 percent done
INFO     | 2019-02-27 17:14:29,684 | progress   | Finished subset 99/211, 46.92 percent done
INFO     | 2019-02-27 17:14:34,585 | progress   | Finished subset 100/211, 47.39 percent done
INFO     | 2019-02-27 17:14:36,385 | progress   | Finished subset 101/211, 47.87 percent done
INFO     | 2019-02-27 17:14:37,785 | progress   | Finished subset 102/211, 48.34 percent done
INFO     | 2019-02-27 17:14:41,019 | progress   | Finished subset 103/211, 48.82 percent done
INFO     | 2019-02-27 17:14:49,816 | progress   | Finished subset 104/211, 49.29 percent done
INFO     | 2019-02-27 17:14:51,976 | progress   | Finished subset 105/211, 49.76 percent done
INFO     | 2019-02-27 17:14:54,661 | progress   | Finished subset 106/211, 50.24 percent done
INFO     | 2019-02-27 17:14:56,515 | progress   | Finished subset 107/211, 50.71 percent done
INFO     | 2019-02-27 17:15:02,252 | progress   | Finished subset 108/211, 51.18 percent done
INFO     | 2019-02-27 17:15:20,733 | progress   | Finished subset 109/211, 51.66 percent done
INFO     | 2019-02-27 17:15:24,122 | progress   | Finished subset 110/211, 52.13 percent done
INFO     | 2019-02-27 17:15:26,425 | progress   | Finished subset 111/211, 52.61 percent done
INFO     | 2019-02-27 17:15:32,549 | progress   | Finished subset 112/211, 53.08 percent done
INFO     | 2019-02-27 17:15:43,669 | progress   | Finished subset 113/211, 53.55 percent done
INFO     | 2019-02-27 17:15:47,035 | progress   | Finished subset 114/211, 54.03 percent done
INFO     | 2019-02-27 17:15:50,912 | progress   | Finished subset 115/211, 54.50 percent done
INFO     | 2019-02-27 17:16:00,055 | progress   | Finished subset 116/211, 54.98 percent done
INFO     | 2019-02-27 17:16:02,982 | progress   | Finished subset 117/211, 55.45 percent done
INFO     | 2019-02-27 17:16:15,481 | progress   | Finished subset 118/211, 55.92 percent done
INFO     | 2019-02-27 17:16:19,693 | progress   | Finished subset 119/211, 56.40 percent done
INFO     | 2019-02-27 17:16:27,414 | progress   | Finished subset 120/211, 56.87 percent done
INFO     | 2019-02-27 17:16:27,416 | method     | ***Greedy algorithm step 2***
INFO     | 2019-02-27 17:16:32,895 | progress   | Finished subset 121/211, 57.35 percent done
INFO     | 2019-02-27 17:16:35,094 | progress   | Finished subset 122/211, 57.82 percent done
INFO     | 2019-02-27 17:16:37,474 | progress   | Finished subset 123/211, 58.29 percent done
INFO     | 2019-02-27 17:16:39,166 | progress   | Finished subset 124/211, 58.77 percent done
INFO     | 2019-02-27 17:16:40,897 | progress   | Finished subset 125/211, 59.24 percent done
INFO     | 2019-02-27 17:16:42,174 | progress   | Finished subset 126/211, 59.72 percent done
INFO     | 2019-02-27 17:16:43,599 | progress   | Finished subset 127/211, 60.19 percent done
INFO     | 2019-02-27 17:16:45,512 | progress   | Finished subset 128/211, 60.66 percent done
INFO     | 2019-02-27 17:16:48,122 | progress   | Finished subset 129/211, 61.14 percent done
INFO     | 2019-02-27 17:16:49,937 | progress   | Finished subset 130/211, 61.61 percent done
INFO     | 2019-02-27 17:16:53,562 | progress   | Finished subset 131/211, 62.09 percent done
INFO     | 2019-02-27 17:17:20,229 | progress   | Finished subset 132/211, 62.56 percent done
INFO     | 2019-02-27 17:17:23,218 | progress   | Finished subset 133/211, 63.03 percent done
INFO     | 2019-02-27 17:17:23,781 | method     | ***Greedy algorithm step 3***
INFO     | 2019-02-27 17:17:26,254 | progress   | Finished subset 134/211, 63.51 percent done
INFO     | 2019-02-27 17:17:32,140 | progress   | Finished subset 135/211, 63.98 percent done
INFO     | 2019-02-27 17:17:35,192 | progress   | Finished subset 136/211, 64.45 percent done
INFO     | 2019-02-27 17:17:37,234 | progress   | Finished subset 137/211, 64.93 percent done
INFO     | 2019-02-27 17:17:39,798 | progress   | Finished subset 138/211, 65.40 percent done
